,Event,Date,Name,Opponent,5D_odds,Ref_odds
0,UFC Fight Night 31: Fight For The Troops III,November 6th,Rafael Natal,Tim Kennedy,+340▲,+300▲
1,UFC Fight Night 31: Fight For The Troops III,November 6th,Tim Kennedy,Rafael Natal,-380▼,-400▼
2,UFC Fight Night 31: Fight For The Troops III,November 6th,Jorge Masvidal,Rustam Khabilov,+125▲,+115▲
3,UFC Fight Night 31: Fight For The Troops III,November 6th,Rustam Khabilov,Jorge Masvidal,-135▼,-145▼
4,UFC Fight Night 31: Fight For The Troops III,November 6th,Ronny Markes,Yoel Romero,+145▼,+135▼
5,UFC Fight Night 31: Fight For The Troops III,November 6th,Yoel Romero,Ronny Markes,-155▲,-165▲
6,UFC Fight Night 31: Fight For The Troops III,November 6th,Alexis Davis,Liz Carmouche,+165▲,+165▲
7,UFC Fight Night 31: Fight For The Troops III,November 6th,Liz Carmouche,Alexis Davis,-190▼,-205▼
8,UFC Fight Night 31: Fight For The Troops III,November 6th,Colton Smith,Michael Chiesa,+110▼,+110▲
9,UFC Fight Night 31: Fight For The Troops III,November 6th,Michael Chiesa,Colton Smith,-120▲,-140▼
10,UFC Fight Night 31: Fight For The Troops III,November 6th,Bobby Green,James Krause,+105▼,-110▼
11,UFC Fight Night 31: Fight For The Troops III,November 6th,James Krause,Bobby Green,-115▲,-120▲
12,UFC Fight Night 31: Fight For The Troops III,November 6th,Dennis Bermudez,Steven Siler,-190▼,-200▼
13,UFC Fight Night 31: Fight For The Troops III,November 6th,Steven Siler,Dennis Bermudez,+175▲,+160▲
14,UFC Fight Night 31: Fight For The Troops III,November 6th,Francisco Rivera,George Roop,-135▼,-145▼
15,UFC Fight Night 31: Fight For The Troops III,November 6th,George Roop,Francisco Rivera,+125▲,+115▲
16,UFC Fight Night 31: Fight For The Troops III,November 6th,Brian Houston,Derek Brunson,+160▲,+145▲
17,UFC Fight Night 31: Fight For The Troops III,November 6th,Derek Brunson,Brian Houston,-170▼,-175▼
18,UFC Fight Night 31: Fight For The Troops III,November 6th,Amanda Nunes,Germaine DeRandamie,+115▼,+110▲
19,UFC Fight Night 31: Fight For The Troops III,November 6th,Germaine DeRandamie,Amanda Nunes,-125▲,-140▼
20,UFC Fight Night 31: Fight For The Troops III,November 6th,Neil Magny,Seth Baczynski,-145▲,-145▲
21,UFC Fight Night 31: Fight For The Troops III,November 6th,Seth Baczynski,Neil Magny,+135▼,+115▼
22,UFC Fight Night 31: Fight For The Troops III,November 6th,Yancy Medeiros,Yves Edwards,-255▲,-260▼
23,UFC Fight Night 31: Fight For The Troops III,November 6th,Yves Edwards,Yancy Medeiros,+235▼,+200▲
24,UFC Fight Night 31: Fight For The Troops III,November 6th,Chris Camozzi,Lorenz Larkin,+375▲,+360▲
25,UFC Fight Night 31: Fight For The Troops III,November 6th,Lorenz Larkin,Chris Camozzi,-420▼,-460▼
0,UFC Fight Night 207,March 26th,Chris Daukaus,Curtis Blaydes,+425▼,+375▼
1,UFC Fight Night 207,March 26th,Curtis Blaydes,Chris Daukaus,-550▼,-500▲
2,UFC Fight Night 207,March 26th,Alexa Grasso,Joanne Wood,-285▼,-280▼
3,UFC Fight Night 207,March 26th,Joanne Wood,Alexa Grasso,+243▼,+240▲
4,UFC Fight Night 207,March 26th,Bryan Barberena,Matt Brown,-110▼,-118▲
5,UFC Fight Night 207,March 26th,Matt Brown,Bryan Barberena,-110▼,-102▼
6,UFC Fight Night 207,March 26th,Askar Askarov,Kai Kara-France,-420▼,-425▲
7,UFC Fight Night 207,March 26th,Kai Kara-France,Askar Askarov,+335▼,+325▼
8,UFC Fight Night 207,March 26th,Aleksei Oleinik,Ilir Latifi,+185▼,+190▲
9,UFC Fight Night 207,March 26th,Ilir Latifi,Aleksei Oleinik,-225▼,-225▼
10,UFC Fight Night 207,March 26th,Max Griffin,Neil Magny,+220▼,+225▲
11,UFC Fight Night 207,March 26th,Neil Magny,Max Griffin,-260▼,-265▼
12,UFC Fight Night 207,March 26th,Marc Diakiese,Viacheslav Borshchev,+122▼,+128▲
13,UFC Fight Night 207,March 26th,Viacheslav Borshchev,Marc Diakiese,-142▼,-148▼
16,UFC Fight Night 207,March 26th,Karol Rosa,Sara McMann,-240▼,-250▼
17,UFC Fight Night 207,March 26th,Sara McMann,Karol Rosa,+200▼,+210▲
18,UFC Fight Night 207,March 26th,Chris Gutierrez,Danaa Batgerel,+130▼,+132▼
19,UFC Fight Night 207,March 26th,Danaa Batgerel,Chris Gutierrez,-150▼,-152▲
20,UFC Fight Night 207,March 26th,Aliaskhab Khizriev,Denis Tiuliulin,-1000▼,-1400▼
21,UFC Fight Night 207,March 26th,Denis Tiuliulin,Aliaskhab Khizriev,+650▼,+700
22,UFC Fight Night 207,March 26th,Jennifer Maia,Manon Fiorot,+385▼,+370▼
23,UFC Fight Night 207,March 26th,Manon Fiorot,Jennifer Maia,-485▼,-470▲
24,UFC Fight Night 207,March 26th,David Dvorak,Matheus Nicolau,-135▼,-120▼
25,UFC Fight Night 207,March 26th,Matheus Nicolau,David Dvorak,+115,+100▲
26,UFC Fight Night 207,March 26th,Bruno Souza,Luis Saldana,-150▼,-149▲
27,UFC Fight Night 207,March 26th,Luis Saldana,Bruno Souza,+130▼,+129▼
0,UFC Fight Night 221,March 11th,Merab Dvalishvili,Petr Yan,+215▲,+210▼
1,UFC Fight Night 221,March 11th,Petr Yan,Merab Dvalishvili,-255▼,-250▲
2,UFC Fight Night 221,March 11th,Alexander Volkov,Alexandr Romanov,+130▼,+130▼
3,UFC Fight Night 221,March 11th,Alexandr Romanov,Alexander Volkov,-150▲,-150▲
6,UFC Fight Night 221,March 11th,Nikita Krylov,Ryan Spann,-167▼,-151▲
7,UFC Fight Night 221,March 11th,Ryan Spann,Nikita Krylov,+147▲,+131▼
8,UFC Fight Night 221,March 11th,Jonathan Martinez,Said Nurmagomedov,+205▲,+210▼
9,UFC Fight Night 221,March 11th,Said Nurmagomedov,Jonathan Martinez,-245▼,-245▲
10,UFC Fight Night 221,March 11th,Guido Cannetti,Mario Bautista,+650▲,+750▲
11,UFC Fight Night 221,March 11th,Mario Bautista,Guido Cannetti,-1000▼,-1200▼
14,UFC Fight Night 221,March 11th,Anton Turkalj,Vitor Petrino,-115▼,+100▼
15,UFC Fight Night 221,March 11th,Vitor Petrino,Anton Turkalj,-105▲,-120▲
