,Event,Date,Name,Opponent,5D_odds,Ref_odds
0,UFC Fight Night: Ladd vs. Dumont,October 16th,Aspen Ladd,Norma Dumont,-137▼,-142▼
1,UFC Fight Night: Ladd vs. Dumont,October 16th,Norma Dumont,Aspen Ladd,+117▼,+122▲
2,UFC Fight Night: Ladd vs. Dumont,October 16th,Andrei Arlovski,Carlos Felipe,+110▼,+105▼
3,UFC Fight Night: Ladd vs. Dumont,October 16th,Carlos Felipe,Andrei Arlovski,-130▼,-125▲
4,UFC Fight Night: Ladd vs. Dumont,October 16th,Erick Gonzalez,Jim Miller,+245▼,+260▼
5,UFC Fight Night: Ladd vs. Dumont,October 16th,Jim Miller,Erick Gonzalez,-290▼,-310▲
6,UFC Fight Night: Ladd vs. Dumont,October 16th,Manon Fiorot,Mayra Bueno,-320▼,-340▼
7,UFC Fight Night: Ladd vs. Dumont,October 16th,Mayra Bueno,Manon Fiorot,+260▼,+280▲
8,UFC Fight Night: Ladd vs. Dumont,October 16th,Ludovit Klein,Nate Landwehr,-335▼,-362▲
9,UFC Fight Night: Ladd vs. Dumont,October 16th,Nate Landwehr,Ludovit Klein,+275▼,+297▼
10,UFC Fight Night: Ladd vs. Dumont,October 16th,Andrew Sanchez,Bruno Silva,+142▼,+142▲
11,UFC Fight Night: Ladd vs. Dumont,October 16th,Bruno Silva,Andrew Sanchez,-162▼,-162▼
12,UFC Fight Night: Ladd vs. Dumont,October 16th,Danny Roberts,Ramazan Emeev,+245▼,+240▼
13,UFC Fight Night: Ladd vs. Dumont,October 16th,Ramazan Emeev,Danny Roberts,-290▼,-280▲
14,UFC Fight Night: Ladd vs. Dumont,October 16th,Luana Carolina,Lupita Godinez,+185▼,+205▲
15,UFC Fight Night: Ladd vs. Dumont,October 16th,Lupita Godinez,Luana Carolina,-225▼,-240▼
16,UFC Fight Night: Ladd vs. Dumont,October 16th,Brandon Davis,Danaa Batgerel,+117▼,+112▼
17,UFC Fight Night: Ladd vs. Dumont,October 16th,Danaa Batgerel,Brandon Davis,-137▼,-132▲
18,UFC Fight Night: Ladd vs. Dumont,October 16th,Ariane Carnelossi,Istela Nunes,-135▼,-142▲
19,UFC Fight Night: Ladd vs. Dumont,October 16th,Istela Nunes,Ariane Carnelossi,+115▼,+122▼
0,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Aspen Ladd,Germaine DeRandamie,-120▼,-111▼
1,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Germaine DeRandamie,Aspen Ladd,+100▼,-109▲
2,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Ricky Simon,Urijah Faber,-355▼,-345▼
3,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Urijah Faber,Ricky Simon,+320▲,+285▲
4,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Darren Elkins,Ryan Hall,-115▼,-105▲
5,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Ryan Hall,Darren Elkins,-105▼,-115▼
6,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Josh Emmett,Mirsad Bektic,+150▼,+141▼
7,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Mirsad Bektic,Josh Emmett,-170▼,-161▲
8,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Karl Roberson,Wellington Turman,-220▼,-210▲
9,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Wellington Turman,Karl Roberson,+180▼,+180▼
10,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Cezar Ferreira,Marvin Vettori,+180▼,+170▼
11,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Marvin Vettori,Cezar Ferreira,-220▼,-200▲
12,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,John Allan,Mike Rodriguez,+340▼,+350▼
13,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Mike Rodriguez,John Allan,-425▼,-450▲
14,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Andre Fili,Sheymon Moraes,-160▼,-153▲
15,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Sheymon Moraes,Andre Fili,+140▼,+133▼
16,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Julianna Pena,Nicco Montano,-250▼,-250▲
17,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Nicco Montano,Julianna Pena,+210▼,+210▼
18,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Jonathan Martinez,Liu Pingyuan,+180▼,+157▼
19,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Liu Pingyuan,Jonathan Martinez,-220▼,-182▲
20,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Benito Lopez,Vince Morales,-105▼,-105▲
21,UFC on ESPN+ 13: De Randamie vs. Ladd,July 13th,Vince Morales,Benito Lopez,-105▲,-115▼
0,UFC Fight Night: Smith vs. Spann,September 18th,Anthony Smith,Ryan Spann,-140▼,-150▲
1,UFC Fight Night: Smith vs. Spann,September 18th,Ryan Spann,Anthony Smith,+120▼,+130▼
2,UFC Fight Night: Smith vs. Spann,September 18th,Devin Clark,Ion Curelaba,+150▼,+153▼
3,UFC Fight Night: Smith vs. Spann,September 18th,Ion Curelaba,Devin Clark,-170▼,-178▲
4,UFC Fight Night: Smith vs. Spann,September 18th,Ariane Lipski,Mandy Bohm,-130▼,-131▼
5,UFC Fight Night: Smith vs. Spann,September 18th,Mandy Bohm,Ariane Lipski,+110▼,+111▲
6,UFC Fight Night: Smith vs. Spann,September 18th,Arman Tsarukyan,Christos Giagos,-800▼,-1000▲
7,UFC Fight Night: Smith vs. Spann,September 18th,Christos Giagos,Arman Tsarukyan,+550▼,+600▼
8,UFC Fight Night: Smith vs. Spann,September 18th,Nate Maness,Tony Gravely,+160▼,+169▲
9,UFC Fight Night: Smith vs. Spann,September 18th,Tony Gravely,Nate Maness,-185▼,-194▼
10,UFC Fight Night: Smith vs. Spann,September 18th,Jp Buys.,Montel Jackson,+475▼,+450▼
11,UFC Fight Night: Smith vs. Spann,September 18th,Montel Jackson,Jp Buys.,-650▼,-700▲
12,UFC Fight Night: Smith vs. Spann,September 18th,Antonio Arroyo,Joaquin Buckley,+147▼,+153▲
13,UFC Fight Night: Smith vs. Spann,September 18th,Joaquin Buckley,Antonio Arroyo,-167▼,-178▼
14,UFC Fight Night: Smith vs. Spann,September 18th,Mike Rodriguez,Tafon Nchukwi,+107▼,+103▲
15,UFC Fight Night: Smith vs. Spann,September 18th,Tafon Nchukwi,Mike Rodriguez,-127▼,-123▼
16,UFC Fight Night: Smith vs. Spann,September 18th,Pannie Kianzad,Raquel Pennington,+117▼,+112▼
17,UFC Fight Night: Smith vs. Spann,September 18th,Raquel Pennington,Pannie Kianzad,-137▼,-132▲
