Name,Nickname,URL,Division,Record,Status,Place of Birth,Trains at,Age,Height,Weight,Octagon Debut,Reach,Sig. Strikes Landed,Sig. Strikes Attempted,Takedowns Landed,Takedowns Attempted,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense,Takedown Defense,Knockdown Avg,Average fight time,Standing,Clinch,Ground,KO/TKO,DEC,SUB,head total,head percent,body total,body percent,leg total,leg percent,First Round Finishes,Fighting style,Leg reach,wins,losses,draws
Ricardo Abreu,Demente,https://www.ufc.com/athlete/ricardo-abreu,Middleweight Division,5-1-0 (W-L-D),Retired,"Dourados, Brazil","Kings MMA - Huntington Beach, CA",38,71.00,183.00,"May. 31, 2014",73.00,80,252,,7,3.79,3.98,2.13,0.71,68%,100%,1.42,633,58,13,9,3,0,2,65,81%,10,13%,5,6%,NA,,,5,1,0
John Adajar,,https://www.ufc.com/athlete/john-adajar,Welterweight Division,0-1-0 (W-L-D),Active,,,31,,170.00,"Jun. 10, 2022",,18,34,,,3.90,6.28,0.00,0.00,44%,NA,0.00,277,17,1,0,0,0,0,11,61%,5,28%,2,11%,NA,,,0,1,0
Juan Adams,The Kraken,https://www.ufc.com/athlete/juan-adams,Heavyweight Division,5-3-0 (W-L-D),Not Fighting,"Houston, United States",,31,77.00,266.00,"Dec. 15, 2018",80.00,234,420,2,3,7.09,4.06,0.91,0.00,35%,57%,0.00,396,112,52,70,5,0,0,192,82%,32,14%,10,4%,NA,MMA,42.50,5,3,0
Scott Adams,,https://www.ufc.com/athlete/tenk-ebbott,Heavyweight Division,6-0-0 (W-L-D),Not Fighting,"San Luis Obispo, United States",,,72.00,225.00,"Mar. 10, 2000",,,,,,,,,,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,6,0,0
Anthony Adams,,https://www.ufc.com/athlete/anthony-adams,Middleweight Division,8-2-0 (W-L-D),Active,"Philadelphia, United States",,35,73.00,184.50,"Apr. 20, 2023",76.50,95,227,,7,3.17,5.93,0.00,0.00,44%,NA,0.00,900,84,11,0,0,0,0,37,39%,29,31%,29,31%,NA,,43.00,8,2,0
Zarrukh Adashev,The Lion,https://www.ufc.com/athlete/zarrukh-adashev,Flyweight Division,4-4-0 (W-L-D),Not Fighting,"Samarkand, Uzbekistan",Team Lion,30,65.00,125.50,"Jun. 13, 2020",65.00,115,285,,5,3.65,3.04,0.00,0.48,65%,100%,0.00,473,107,6,2,2,2,0,76,66%,16,14%,23,20%,NA,MMA,35.00,4,4,0
Israel Adesanya,The Last Stylebender,https://www.ufc.com/athlete/israel-adesanya,Middleweight Division,24-2-0 (W-L-D),Active,"Lagos, Nigeria",City Kickboxing,33,76.00,184.50,"Feb. 11, 2018",80.00,1054,2115,,7,3.94,2.88,0.06,0.17,58%,78%,0.73,1069,958,60,36,16,7,0,529,50%,196,19%,329,31%,6,Freestyle,44.50,24,2,0
Sam Adkins,,https://www.ufc.com/athlete/sam-adkins,Light Heavyweight Division,0-0-0 (W-L-D),Not Fighting,United States,,57,72.00,205.00,"Feb. 16, 1996",,,,,,,,,,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,0,0,0
Nick Agallar,,https://www.ufc.com/athlete/nick-agallar,Lightweight Division,12-3-0 (W-L-D),Not Fighting,"Racine, United States",,44,67.00,155.00,"Nov. 21, 2003",,5,43,,2,0.69,4.56,0.00,0.00,42%,NA,0.00,434,4,1,0,0,0,0,2,40%,0,0%,3,60%,NA,,,12,3,0
Mariya Agapova,Demonslayer,https://www.ufc.com/athlete/mariya-agapova,Women's Flyweight Division,10-4-0 (W-L-D),Active,Kazakhstan,American Top Team,25,66.00,125.50,"Jun. 13, 2020",68.50,238,427,2,3,4.67,3.82,0.59,0.88,52%,48%,0.59,510,160,38,40,3,2,5,152,64%,67,28%,19,8%,6,Kickboxer,38.50,10,4,0
